song_id,title,writers,signal,original_artist,evidence_url,decision
song-turn-on-your-lovelight,Turn On Your Lovelight,,no_writer_data,,,held
song-twist-and-shout,Twist And Shout,,no_writer_data,,,held
song-two-souls-in-communion,Two Souls In Communion,,no_writer_data,,,held
song-u-s-blues,U.S. Blues,,no_writer_data,,,held
song-unbroken-chain,Unbroken Chain,,no_writer_data,,,held
song-uncle-sam-blues,Uncle Sam Blues,person-hot-lips-page;person-hot-lips-page,non_family_writer,,,held
song-unidentified-19660312-02-blues-instrumental,unidentified-19660312-02 (blues instrumental),,no_writer_data,,,held
song-unidentified-19660325-01,unidentified-19660325-01,,no_writer_data,,,held
song-unidentified-19670409-01-blues,unidentified-19670409-01 (blues),,no_writer_data,,,held
song-unidentified-19690507-01,unidentified-19690507-01,,no_writer_data,,,held
song-unidentified-19701120-01,unidentified-19701120-01,,no_writer_data,,,held
song-valley-road,Valley Road,,no_writer_data,,,held
song-victim-or-the-crime,Victim Or The Crime,,no_writer_data,,,held
song-viola-lee-blues,Viola Lee Blues,person-noah-lewis,non_family_writer,,,held
song-visions-of-johanna,Visions Of Johanna,,no_writer_data,,,held
song-wake-up-little-susie,Wake Up Little Susie,person-boudleaux-bryant;person-felice-bryant,non_family_writer,,,held
song-walkin-blues,Walkin' Blues,,no_writer_data,,,held
song-walking-the-dog,Walking The Dog,person-rufus-thomas;person-rufus-thomas,non_family_writer,,,held
song-wang-dang-doodle,Wang Dang Doodle,,no_writer_data,,,held
song-watchin-the-wheels,Watchin' The Wheels,,no_writer_data,,,held
song-wave-that-flag,Wave That Flag,,no_writer_data,,,held
song-wave-to-the-wind,Wave To The Wind,,no_writer_data,,,held
song-way-to-go-home,Way To Go Home,,no_writer_data,,,held
song-we-can-run,We Can Run,,no_writer_data,,,held
song-weather-report-suite-part-1,Weather Report Suite Part 1,,no_writer_data,,,held
song-werewolves-of-london,Werewolves Of London,,no_writer_data,,,held
song-west-l-a-fadeaway,West L.A. Fadeaway,,no_writer_data,,,held
song-what-s-become-of-the-baby,What's Become Of The Baby,,no_writer_data,,,held
song-what-s-going-on,What's Going On,,no_writer_data,,,held
song-when-i-paint-my-masterpiece,When I Paint My Masterpiece,,no_writer_data,,,held
song-when-push-comes-to-shove,When Push Comes To Shove,,no_writer_data,,,held
song-whiskey-in-the-jar,Whiskey In The Jar,,no_writer_data,,,held
song-who-do-you-love,Who Do You Love,person-bo-diddley;person-bo-diddley,non_family_writer,,,held
song-why-don-t-we-do-it-in-the-road,Why Don't We Do It In The Road,,no_writer_data,,,held
song-will-the-circle-be-unbroken,Will The Circle Be Unbroken,person-ada-ruth-habershon;person-charles-hutchinson-gabriel,non_family_writer,,,held
song-willie-and-the-hand-jive,Willie And The Hand Jive,,no_writer_data,,,held
song-workin-man-blues,Workin' Man Blues,,no_writer_data,,,held
